"Município";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"6 a 8 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 15 a 49 anos";"9 a 19 anos";" Total"
"221080 SIMPLICIO MENDES";"101";"159";"23";"95";"38";"20";"6";"2";"2022";"1436";"57";"8";"762";"5";"0";"0";"0";"103";"70";"248";"154";"79";"41";"10";"1";"0";"0";"0";"2";"0";"13";"11";"47";"0";"0";"14";"1";"0";"2";"0";"13";"0";"0";"10";"5";"24";"24";"23";"28";"63";"12";"0";"0";"94";"8";"23";"8";"4";"0";"5";"13";"0";"17";"0";"49";"0";"0";"0";"0";"192";"368";"1";"6514"
"221090 SOCORRO DO PIAUI";"13";"32";"4";"34";"12";"2";"0";"0";"502";"351";"19";"4";"310";"0";"0";"0";"0";"58";"20";"99";"89";"19";"17";"0";"0";"0";"0";"0";"0";"0";"5";"3";"2";"0";"0";"19";"0";"0";"0";"0";"10";"3";"0";"21";"0";"31";"44";"63";"41";"114";"4";"0";"0";"145";"46";"14";"48";"44";"0";"37";"20";"0";"2";"0";"18";"0";"0";"0";"2";"60";"326";"0";"2707"
"221093 SUSSUAPARA";"2";"75";"11";"51";"17";"6";"0";"0";"942";"756";"9";"2";"317";"0";"0";"0";"0";"49";"15";"140";"90";"19";"4";"0";"1";"0";"0";"0";"0";"0";"0";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"3";"2";"11";"1";"20";"1";"0";"0";"49";"11";"1";"17";"22";"0";"14";"3";"0";"4";"0";"26";"0";"0";"0";"0";"204";"143";"0";"3046"
"221095 TAMBORIL DO PIAUI";"0";"28";"0";"40";"2";"0";"0";"0";"391";"330";"2";"0";"110";"0";"0";"0";"0";"7";"3";"32";"22";"4";"2";"0";"0";"0";"0";"0";"0";"7";"0";"0";"7";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"7";"0";"10";"7";"35";"0";"0";"0";"22";"15";"2";"24";"15";"0";"14";"7";"3";"0";"0";"0";"0";"0";"0";"0";"92";"37";"0";"1280"
"221097 TANQUE DO PIAUI";"3";"32";"1";"23";"8";"1";"1";"0";"379";"378";"7";"0";"196";"0";"0";"0";"0";"19";"10";"44";"19";"4";"4";"0";"0";"0";"0";"0";"0";"34";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"7";"1";"51";"0";"0";"0";"62";"63";"11";"82";"60";"0";"52";"34";"11";"0";"11";"10";"4";"3";"0";"0";"68";"100";"2";"1815"
"221100 TERESINA";"17023";"7931";"707";"6500";"1820";"646";"278";"21";"121241";"79632";"4646";"1354";"32227";"18";"0";"0";"0";"4064";"2394";"10618";"6595";"2393";"1210";"285";"15";"20";"16";"9";"0";"181";"252";"149";"4517";"29";"0";"1054";"0";"4";"32";"0";"2444";"32";"0";"810";"47";"1183";"3606";"11535";"1985";"7982";"804";"221";"378";"9138";"4243";"910";"4370";"3689";"2";"2645";"5200";"73";"834";"50";"7559";"56";"48";"0";"140";"22654";"27446";"75";"428040"
"221110 UNIAO";"158";"418";"84";"318";"153";"65";"35";"2";"5491";"4071";"462";"90";"798";"26";"3";"0";"0";"225";"149";"495";"535";"145";"73";"15";"1";"6";"1";"2";"0";"369";"342";"61";"153";"0";"0";"1061";"0";"7";"0";"0";"24";"1";"0";"387";"1";"325";"160";"57";"326";"373";"4";"15";"9";"358";"268";"439";"234";"202";"0";"265";"534";"377";"38";"320";"58";"311";"193";"0";"6";"1330";"848";"274";"23551"
"221120 URUCUI";"387";"370";"22";"287";"85";"26";"10";"0";"4746";"3083";"209";"33";"1562";"2";"0";"0";"0";"210";"89";"444";"273";"102";"44";"9";"1";"1";"2";"0";"1";"2";"14";"3";"59";"0";"0";"28";"0";"0";"1";"0";"9";"0";"0";"19";"1";"38";"74";"159";"53";"170";"3";"1";"1";"178";"49";"14";"37";"26";"0";"15";"20";"3";"3";"1";"153";"1";"0";"0";"14";"996";"785";"2";"14930"
"221130 VALENCA DO PIAUI";"610";"285";"9";"185";"40";"9";"1";"3";"3688";"2484";"53";"17";"1181";"2";"0";"0";"0";"153";"97";"416";"300";"53";"49";"12";"1";"0";"0";"0";"1";"29";"13";"8";"231";"2";"0";"22";"0";"0";"0";"0";"37";"1";"0";"19";"1";"46";"54";"43";"36";"115";"2";"2";"1";"139";"53";"51";"59";"46";"0";"48";"110";"6";"23";"4";"139";"5";"2";"0";"8";"528";"545";"26";"12103"
"221135 VARZEA BRANCA";"3";"69";"9";"60";"20";"12";"4";"0";"741";"436";"38";"5";"117";"2";"0";"0";"0";"32";"23";"41";"21";"1";"0";"0";"0";"1";"0";"0";"0";"130";"14";"44";"39";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"4";"1";"2";"1";"3";"61";"6";"0";"0";"56";"59";"57";"47";"23";"0";"16";"98";"84";"5";"69";"3";"34";"29";"0";"0";"120";"79";"40";"2764"
"221140 VARZEA GRANDE";"4";"30";"2";"36";"9";"1";"0";"0";"603";"528";"5";"4";"137";"1";"0";"0";"0";"36";"12";"62";"50";"22";"1";"2";"0";"0";"0";"0";"0";"0";"3";"0";"19";"0";"0";"2";"0";"2";"1";"0";"16";"1";"0";"5";"0";"3";"14";"15";"15";"15";"0";"0";"1";"13";"4";"11";"5";"4";"0";"2";"5";"0";"4";"0";"15";"0";"0";"0";"2";"70";"70";"1";"1863"
"221150 VERA MENDES";"3";"29";"7";"26";"8";"1";"0";"1";"444";"275";"6";"2";"99";"0";"0";"0";"0";"10";"5";"33";"11";"4";"3";"1";"0";"0";"0";"0";"0";"69";"3";"9";"33";"0";"0";"16";"0";"2";"2";"1";"1";"0";"0";"11";"0";"24";"10";"4";"20";"129";"4";"2";"2";"121";"89";"71";"100";"100";"0";"58";"121";"21";"7";"51";"6";"23";"18";"0";"0";"58";"82";"30";"2266"
"221160 VILA NOVA DO PIAUI";"8";"30";"0";"21";"4";"0";"0";"0";"328";"316";"0";"1";"205";"0";"0";"0";"0";"34";"7";"73";"52";"17";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"5";"10";"111";"10";"14";"0";"0";"0";"23";"2";"16";"2";"5";"0";"3";"11";"0";"5";"0";"59";"0";"0";"2";"0";"38";"223";"0";"1661"
"221170 WALL FERRAZ";"10";"31";"4";"26";"7";"1";"0";"0";"438";"249";"8";"2";"94";"0";"0";"0";"0";"33";"18";"51";"35";"16";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"2";"68";"4";"13";"3";"0";"0";"36";"16";"5";"12";"11";"0";"6";"5";"0";"3";"0";"15";"0";"0";"0";"0";"62";"116";"2";"1434"
"Total";"37405";"30477";"4065";"25210";"7882";"2910";"1147";"213";"453012";"307971";"16020";"4956";"129021";"354";"41";"2";"1";"20025";"10794";"49802";"31981";"10450";"5028";"1109";"77";"66";"47";"38";"51";"3175";"2048";"1511";"22060";"112";"10";"6368";"11";"123";"137";"2";"11877";"358";"1";"4994";"161";"7178";"12668";"29933";"9213";"27700";"1589";"330";"520";"32814";"13769";"7310";"13563";"11371";"18";"8542";"14180";"1733";"3588";"1460";"21424";"1155";"868";"6";"884";"76492";"97597";"2241";"1601249"
