"Município";"Ate 30 dias";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"6 a 8 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 59 anos";"17 a 19 anos";"20 a 24 anos";"20 a 59 anos";"20 a 26 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 15 a 49 anos";"9 a 19 anos";" Total"
"220130 BARREIRAS DO PIAUI";"0";"10";"4";"9";"4";"1";"1";"1";"178";"124";"23";"5";"66";"0";"0";"0";"0";"16";"8";"35";"33";"12";"2";"0";"0";"0";"0";"0";"0";"25";"0";"0";"21";"0";"0";"3";"0";"0";"0";"0";"23";"0";"0";"3";"0";"7";"8";"4";"9";"13";"0";"0";"0";"14";"5";"7";"4";"6";"0";"6";"18";"2";"3";"2";"5";"5";"3";"0";"0";"30";"38";"3";"799"
"220140 BARRO DURO";"23";"75";"7";"56";"29";"8";"4";"2";"1083";"930";"34";"26";"343";"2";"0";"0";"0";"73";"36";"202";"74";"34";"9";"7";"4";"0";"0";"0";"1";"1";"12";"10";"156";"1";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"30";"46";"8";"117";"7";"1";"1";"101";"46";"19";"54";"51";"0";"38";"31";"1";"11";"0";"52";"0";"0";"0";"2";"104";"346";"0";"4314"
"220150 BATALHA";"36";"225";"39";"174";"64";"23";"5";"1";"2876";"1985";"142";"17";"675";"2";"0";"0";"0";"186";"66";"333";"253";"54";"29";"7";"3";"0";"1";"3";"0";"52";"14";"28";"216";"0";"0";"34";"0";"0";"0";"0";"30";"3";"0";"6";"0";"25";"30";"112";"26";"82";"0";"3";"3";"114";"30";"82";"31";"17";"0";"18";"137";"54";"27";"46";"122";"42";"30";"0";"0";"358";"622";"32";"9625"
"220155 BELA VISTA DO PIAUI";"10";"50";"13";"39";"11";"15";"3";"0";"700";"395";"4";"0";"194";"1";"0";"0";"0";"27";"12";"93";"43";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6";"3";"14";"27";"2";"0";"0";"15";"3";"0";"3";"10";"0";"6";"13";"0";"5";"0";"32";"0";"0";"0";"2";"118";"130";"0";"2007"
"220157 BELEM DO PIAUI";"10";"38";"0";"30";"7";"2";"1";"0";"419";"247";"12";"3";"191";"0";"0";"0";"0";"23";"11";"81";"65";"11";"8";"0";"1";"1";"0";"0";"0";"9";"0";"3";"5";"0";"0";"19";"0";"0";"0";"0";"0";"0";"0";"27";"0";"40";"12";"5";"52";"47";"0";"0";"0";"58";"17";"3";"34";"23";"0";"20";"7";"0";"0";"0";"5";"0";"0";"0";"0";"62";"68";"3";"1680"
"220160 BENEDITINOS";"2";"86";"11";"97";"16";"6";"0";"0";"1408";"913";"27";"8";"547";"2";"0";"0";"0";"67";"39";"229";"143";"52";"19";"4";"0";"0";"1";"0";"0";"1";"3";"4";"48";"0";"0";"17";"0";"0";"0";"0";"23";"1";"0";"28";"0";"30";"18";"14";"32";"233";"0";"1";"1";"280";"294";"20";"310";"266";"0";"223";"54";"2";"13";"0";"118";"0";"2";"0";"6";"342";"240";"2";"6303"
"220170 BERTOLINIA";"40";"70";"5";"67";"13";"1";"0";"0";"978";"658";"11";"5";"232";"0";"0";"0";"0";"44";"24";"110";"53";"38";"11";"4";"0";"0";"0";"0";"0";"32";"0";"13";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"3";"0";"17";"18";"18";"29";"40";"2";"0";"1";"46";"17";"35";"11";"8";"0";"4";"59";"33";"12";"17";"55";"12";"5";"0";"4";"126";"193";"13";"3192"
"220173 BETANIA DO PIAUI";"46";"74";"17";"66";"13";"9";"2";"0";"1154";"908";"63";"13";"289";"0";"0";"0";"0";"51";"16";"152";"46";"20";"1";"1";"0";"0";"0";"0";"0";"202";"1";"3";"55";"0";"0";"5";"0";"0";"0";"0";"9";"1";"0";"6";"0";"19";"26";"14";"36";"217";"2";"0";"0";"176";"307";"31";"312";"255";"0";"142";"73";"3";"3";"2";"37";"3";"3";"0";"6";"204";"274";"6";"5374"
"220177 BOA HORA";"27";"85";"9";"67";"9";"3";"0";"4";"1150";"859";"3";"10";"340";"0";"1";"0";"0";"45";"19";"135";"53";"14";"10";"2";"1";"0";"0";"0";"1";"0";"2";"3";"5";"0";"0";"14";"0";"0";"1";"0";"1";"0";"0";"8";"0";"35";"6";"13";"8";"24";"2";"1";"1";"42";"3";"9";"4";"1";"0";"1";"5";"0";"11";"0";"16";"0";"0";"0";"2";"126";"148";"0";"3339"
"220180 BOCAINA";"0";"22";"3";"24";"8";"1";"1";"0";"348";"277";"7";"2";"139";"0";"0";"0";"0";"16";"10";"61";"43";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"3";"3";"13";"0";"0";"0";"6";"12";"0";"21";"17";"0";"21";"0";"0";"2";"0";"19";"0";"0";"0";"0";"82";"62";"0";"1236"
"220190 BOM JESUS";"578";"415";"41";"378";"62";"25";"8";"0";"5855";"3885";"57";"24";"1630";"3";"0";"0";"0";"257";"113";"660";"355";"116";"55";"7";"1";"0";"3";"0";"5";"32";"12";"15";"662";"1";"0";"32";"0";"1";"7";"0";"539";"3";"0";"18";"7";"38";"92";"133";"36";"233";"32";"3";"2";"260";"57";"91";"39";"27";"0";"22";"56";"7";"73";"3";"124";"1";"1";"0";"10";"914";"666";"9";"18791"
"220191 BOM PRINCIPIO DO PIAUI";"4";"63";"10";"44";"14";"11";"2";"0";"1010";"602";"18";"8";"354";"1";"0";"0";"0";"57";"21";"147";"77";"15";"6";"4";"0";"0";"0";"0";"0";"11";"1";"1";"93";"1";"0";"8";"0";"0";"0";"0";"38";"0";"0";"2";"1";"3";"8";"147";"9";"62";"6";"0";"0";"83";"40";"26";"43";"34";"0";"38";"48";"5";"14";"6";"72";"8";"4";"0";"2";"124";"389";"2";"3797"
"220192 BONFIM DO PIAUI";"13";"65";"4";"44";"24";"9";"3";"0";"828";"502";"10";"5";"249";"0";"0";"0";"0";"54";"27";"87";"53";"28";"6";"3";"1";"0";"0";"0";"0";"0";"11";"0";"11";"0";"0";"19";"0";"0";"0";"0";"0";"0";"0";"17";"0";"26";"14";"4";"7";"27";"0";"0";"0";"47";"14";"0";"21";"12";"0";"8";"1";"1";"0";"2";"18";"0";"1";"0";"0";"204";"157";"0";"2637"
"220194 BOQUEIRAO DO PIAUI";"11";"88";"6";"73";"16";"1";"1";"0";"1010";"541";"8";"1";"358";"1";"0";"0";"0";"56";"22";"173";"118";"23";"11";"3";"1";"1";"0";"0";"0";"0";"7";"2";"33";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"1";"0";"9";"18";"86";"6";"42";"2";"3";"3";"73";"24";"36";"22";"12";"0";"10";"24";"0";"10";"0";"31";"0";"0";"0";"0";"102";"324";"0";"3408"
"220196 BRASILEIRA";"4";"52";"8";"55";"21";"4";"1";"0";"841";"752";"28";"5";"434";"0";"0";"0";"0";"62";"21";"144";"101";"36";"17";"7";"0";"0";"0";"0";"0";"51";"3";"1";"62";"0";"0";"5";"0";"0";"1";"0";"11";"0";"0";"1";"0";"9";"26";"137";"14";"64";"1";"0";"0";"46";"61";"36";"81";"64";"0";"47";"112";"40";"21";"16";"138";"18";"13";"0";"0";"160";"359";"0";"4191"
"220198 BREJO DO PIAUI";"1";"15";"2";"13";"10";"2";"1";"0";"333";"327";"16";"7";"203";"1";"0";"0";"0";"15";"14";"56";"38";"21";"8";"1";"1";"0";"1";"0";"0";"0";"4";"0";"19";"0";"0";"12";"0";"0";"2";"0";"4";"0";"0";"15";"0";"29";"6";"4";"27";"4";"1";"0";"0";"6";"3";"0";"4";"4";"0";"4";"2";"0";"3";"0";"3";"0";"0";"0";"0";"10";"26";"0";"1278"
"220200 BURITI DOS LOPES";"31";"142";"46";"119";"67";"25";"8";"1";"2548";"1743";"205";"39";"644";"9";"1";"0";"0";"114";"80";"292";"238";"69";"33";"9";"0";"0";"3";"3";"0";"0";"20";"17";"159";"0";"0";"38";"0";"5";"1";"0";"33";"3";"0";"66";"1";"31";"54";"191";"74";"157";"0";"2";"1";"124";"14";"47";"18";"12";"0";"7";"57";"2";"14";"9";"33";"5";"4";"0";"16";"388";"517";"0";"8589"
"220202 BURITI DOS MONTES";"10";"33";"7";"26";"13";"2";"2";"0";"500";"306";"16";"5";"149";"1";"0";"0";"0";"28";"6";"15";"14";"7";"4";"0";"0";"0";"0";"0";"0";"8";"2";"7";"3";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"3";"0";"6";"4";"4";"7";"31";"0";"0";"0";"27";"9";"11";"13";"12";"0";"7";"16";"1";"1";"0";"4";"0";"0";"0";"2";"98";"49";"17";"1489"
"220205 CABECEIRAS DO PIAUI";"7";"75";"14";"58";"25";"18";"3";"1";"1199";"761";"70";"24";"368";"2";"0";"0";"0";"52";"24";"93";"57";"14";"9";"1";"0";"0";"0";"0";"0";"41";"5";"17";"158";"0";"0";"2";"0";"0";"1";"0";"69";"0";"0";"0";"0";"1";"4";"17";"1";"19";"0";"1";"0";"47";"4";"88";"3";"0";"0";"3";"65";"12";"10";"13";"34";"2";"6";"0";"0";"282";"207";"116";"4103"
"220207 CAJAZEIRAS DO PIAUI";"6";"18";"2";"14";"11";"6";"0";"0";"283";"312";"3";"2";"136";"0";"0";"0";"0";"25";"3";"29";"11";"7";"1";"0";"0";"0";"0";"0";"0";"11";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"5";"0";"19";"4";"23";"13";"69";"0";"0";"0";"38";"31";"10";"47";"48";"0";"11";"40";"3";"3";"3";"11";"4";"0";"0";"6";"46";"65";"1";"1391"
"220208 CAJUEIRO DA PRAIA";"31";"38";"9";"32";"10";"15";"8";"1";"890";"657";"70";"11";"289";"3";"0";"0";"0";"58";"48";"100";"105";"23";"18";"4";"1";"0";"0";"0";"0";"0";"5";"2";"25";"0";"0";"6";"0";"0";"0";"0";"8";"1";"0";"6";"0";"7";"22";"56";"13";"35";"0";"0";"0";"31";"8";"8";"6";"6";"0";"1";"9";"0";"1";"0";"17";"0";"0";"0";"10";"80";"114";"0";"2898"
"220209 CALDEIRAO GRANDE DO PIAUI";"18";"73";"5";"76";"6";"2";"0";"1";"916";"592";"4";"0";"301";"0";"0";"0";"0";"64";"39";"194";"155";"51";"10";"3";"0";"0";"0";"0";"2";"0";"2";"2";"43";"0";"0";"6";"0";"0";"0";"0";"2";"1";"0";"7";"2";"21";"0";"10";"10";"10";"10";"0";"0";"18";"0";"4";"4";"0";"0";"3";"9";"0";"14";"0";"38";"0";"0";"0";"4";"166";"192";"0";"3090"
"220210 CAMPINAS DO PIAUI";"8";"48";"5";"34";"12";"5";"1";"1";"578";"290";"25";"7";"113";"0";"0";"0";"0";"17";"12";"65";"38";"16";"5";"0";"0";"1";"0";"0";"0";"0";"3";"1";"12";"0";"0";"5";"0";"0";"0";"0";"7";"2";"0";"6";"0";"4";"8";"11";"4";"12";"2";"0";"1";"16";"12";"0";"6";"2";"0";"3";"10";"0";"2";"0";"13";"0";"0";"0";"2";"116";"74";"0";"1615"
"220211 CAMPO ALEGRE DO FIDALGO";"44";"52";"10";"39";"15";"11";"4";"0";"837";"535";"24";"5";"222";"0";"0";"0";"0";"37";"12";"109";"71";"13";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"6";"0";"14";"6";"15";"23";"33";"3";"0";"0";"47";"15";"2";"7";"6";"0";"5";"5";"0";"1";"0";"12";"0";"0";"0";"0";"142";"121";"0";"2510"
"220213 CAMPO GRANDE DO PIAUI";"3";"22";"8";"35";"11";"2";"1";"0";"480";"348";"10";"4";"127";"0";"0";"0";"0";"17";"8";"25";"23";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"6";"0";"0";"0";"0";"2";"0";"0";"6";"0";"8";"4";"12";"28";"38";"9";"0";"0";"56";"10";"0";"5";"3";"0";"1";"1";"0";"1";"0";"10";"0";"0";"0";"4";"84";"69";"0";"1501"
"220217 CAMPO LARGO DO PIAUI";"23";"88";"14";"55";"33";"16";"5";"0";"1259";"842";"26";"5";"573";"1";"0";"0";"0";"128";"34";"272";"120";"41";"18";"19";"0";"0";"0";"0";"0";"0";"4";"2";"196";"1";"0";"19";"0";"0";"0";"0";"29";"0";"0";"21";"0";"64";"74";"130";"100";"104";"0";"0";"0";"117";"32";"3";"36";"34";"0";"36";"67";"0";"4";"0";"43";"0";"0";"0";"2";"120";"467";"0";"5277"
"220220 CAMPO MAIOR";"992";"453";"47";"430";"58";"20";"8";"0";"6914";"4803";"129";"30";"1800";"0";"0";"0";"0";"175";"134";"618";"362";"120";"62";"5";"1";"0";"0";"1";"0";"1";"14";"25";"341";"1";"0";"20";"0";"1";"0";"0";"353";"3";"0";"13";"3";"10";"50";"198";"18";"117";"4";"0";"0";"206";"48";"63";"48";"27";"0";"22";"59";"0";"73";"0";"469";"0";"0";"0";"6";"828";"1168";"39";"21390"
"220225 CANAVIEIRA";"6";"14";"1";"15";"5";"6";"1";"0";"386";"389";"19";"3";"104";"0";"0";"0";"0";"32";"14";"71";"66";"14";"2";"3";"0";"0";"0";"0";"0";"16";"0";"4";"40";"0";"0";"16";"0";"0";"0";"0";"4";"0";"0";"14";"0";"29";"16";"6";"33";"21";"1";"0";"0";"15";"14";"17";"7";"12";"0";"10";"67";"9";"3";"9";"14";"3";"2";"0";"4";"106";"80";"9";"1732"
"220230 CANTO DO BURITI";"107";"39";"6";"28";"6";"3";"0";"0";"574";"239";"13";"1";"21";"0";"0";"0";"0";"3";"3";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"4";"0";"0";"0";"13";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"4";"0";"1078"
"220240 CAPITAO DE CAMPOS";"44";"106";"15";"91";"32";"11";"1";"0";"1648";"1124";"41";"23";"611";"2";"0";"0";"0";"83";"38";"201";"105";"42";"13";"12";"0";"1";"0";"0";"3";"1";"10";"4";"8";"0";"0";"3";"0";"2";"5";"0";"2";"0";"0";"5";"1";"7";"24";"54";"8";"36";"19";"0";"4";"59";"13";"12";"10";"7";"0";"4";"20";"0";"15";"0";"43";"0";"0";"0";"2";"268";"290";"1";"5184"
"220245 CAPITAO GERVASIO OLIVEIRA";"22";"59";"7";"35";"13";"3";"2";"0";"641";"394";"16";"7";"239";"0";"0";"0";"0";"38";"14";"105";"67";"24";"9";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"10";"0";"10";"4";"57";"3";"29";"6";"0";"0";"33";"12";"10";"8";"22";"0";"11";"23";"0";"15";"0";"53";"0";"0";"0";"0";"104";"186";"0";"2302"
"220250 CARACOL";"55";"104";"40";"113";"43";"18";"1";"0";"2056";"1299";"34";"5";"563";"0";"0";"0";"0";"69";"24";"186";"58";"35";"30";"9";"0";"0";"0";"0";"0";"0";"1";"1";"16";"0";"0";"6";"0";"0";"0";"0";"19";"0";"0";"6";"0";"16";"12";"42";"10";"94";"1";"0";"0";"170";"33";"8";"20";"18";"0";"16";"50";"0";"8";"0";"75";"0";"0";"0";"6";"286";"255";"1";"5912"
"220253 CARAUBAS DO PIAUI";"4";"79";"9";"73";"18";"7";"0";"0";"1133";"764";"6";"1";"459";"0";"0";"0";"0";"61";"29";"198";"120";"20";"16";"4";"0";"0";"0";"0";"0";"0";"3";"2";"101";"0";"0";"5";"0";"0";"2";"0";"2";"0";"0";"4";"2";"8";"22";"46";"10";"61";"6";"0";"0";"108";"14";"19";"8";"6";"0";"3";"28";"0";"12";"0";"72";"0";"0";"0";"2";"140";"393";"0";"4080"
"220255 CARIDADE DO PIAUI";"38";"60";"5";"56";"16";"3";"0";"1";"883";"528";"23";"3";"281";"2";"0";"0";"0";"31";"27";"107";"71";"39";"17";"3";"0";"0";"0";"0";"0";"1";"2";"0";"182";"0";"0";"3";"0";"0";"0";"0";"125";"0";"0";"6";"0";"12";"16";"19";"10";"20";"1";"0";"0";"42";"3";"3";"3";"7";"0";"6";"3";"0";"4";"0";"9";"0";"0";"0";"2";"80";"203";"1";"2957"
"220260 CASTELO DO PIAUI";"7";"225";"50";"236";"54";"18";"7";"4";"3463";"2786";"55";"38";"1066";"0";"0";"0";"0";"142";"72";"488";"315";"94";"49";"11";"0";"0";"0";"0";"0";"3";"3";"0";"66";"0";"0";"51";"0";"0";"0";"0";"27";"1";"0";"61";"0";"97";"116";"53";"164";"213";"0";"0";"2";"227";"46";"6";"24";"18";"0";"14";"25";"1";"5";"0";"40";"0";"0";"0";"12";"810";"412";"2";"11679"
"220265 CAXINGO";"1";"58";"13";"60";"27";"9";"2";"0";"1014";"728";"7";"9";"428";"0";"0";"0";"0";"49";"21";"80";"27";"14";"3";"3";"0";"0";"0";"0";"1";"45";"0";"1";"30";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"4";"1";"4";"16";"128";"12";"84";"0";"0";"0";"156";"42";"14";"36";"28";"0";"17";"50";"10";"0";"14";"12";"9";"9";"0";"6";"228";"266";"14";"3794"
"220270 COCAL";"22";"303";"37";"232";"90";"30";"14";"5";"4006";"2950";"83";"40";"1279";"12";"2";"0";"1";"253";"90";"579";"366";"110";"46";"7";"0";"0";"0";"3";"0";"6";"28";"15";"437";"2";"1";"70";"0";"1";"0";"0";"395";"7";"0";"44";"0";"66";"138";"589";"58";"190";"2";"2";"5";"284";"114";"143";"123";"82";"0";"52";"106";"1";"40";"0";"149";"0";"0";"0";"10";"614";"1265";"12";"15611"
"220271 COCAL DE TELHA";"7";"45";"10";"34";"11";"4";"3";"0";"599";"453";"23";"1";"279";"0";"0";"0";"0";"43";"16";"84";"67";"13";"7";"0";"0";"0";"0";"0";"0";"0";"3";"0";"12";"0";"0";"13";"0";"0";"0";"0";"5";"0";"0";"9";"1";"24";"4";"23";"15";"14";"1";"0";"0";"27";"15";"3";"18";"9";"0";"3";"8";"0";"2";"0";"29";"0";"0";"0";"2";"78";"128";"0";"2145"
"220272 COCAL DOS ALVES";"10";"73";"14";"53";"35";"19";"20";"0";"1124";"1004";"28";"12";"287";"1";"0";"0";"0";"45";"20";"85";"94";"32";"12";"0";"0";"0";"0";"0";"0";"0";"2";"3";"13";"0";"0";"11";"0";"0";"1";"0";"0";"0";"0";"21";"2";"23";"8";"6";"21";"69";"8";"0";"0";"83";"6";"6";"5";"0";"0";"3";"7";"0";"9";"0";"29";"0";"0";"0";"0";"148";"174";"0";"3626"
"220273 COIVARAS";"13";"55";"6";"53";"6";"5";"1";"1";"822";"491";"3";"2";"247";"0";"0";"0";"0";"25";"9";"109";"94";"10";"6";"0";"0";"0";"0";"0";"0";"3";"1";"1";"17";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"3";"0";"10";"4";"20";"5";"19";"0";"0";"0";"25";"9";"0";"15";"13";"0";"9";"3";"2";"32";"2";"22";"2";"2";"0";"0";"60";"110";"1";"2353"
"220275 COLONIA DO GURGUEIA";"12";"63";"2";"51";"17";"10";"2";"0";"870";"595";"31";"9";"320";"0";"0";"0";"0";"45";"20";"75";"61";"20";"5";"5";"0";"0";"0";"0";"1";"0";"4";"0";"9";"0";"0";"24";"0";"0";"0";"0";"1";"3";"0";"6";"0";"7";"24";"14";"12";"71";"5";"1";"2";"93";"9";"8";"1";"8";"0";"1";"16";"0";"3";"0";"14";"0";"0";"0";"0";"196";"150";"0";"2896"
"220277 COLONIA DO PIAUI";"7";"84";"2";"55";"12";"1";"1";"0";"868";"661";"14";"0";"249";"0";"0";"0";"0";"47";"18";"107";"37";"22";"16";"0";"0";"0";"0";"0";"0";"0";"1";"2";"26";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"6";"0";"2";"20";"11";"6";"24";"6";"0";"0";"37";"6";"7";"10";"9";"0";"3";"5";"0";"4";"0";"16";"0";"0";"0";"4";"190";"108";"0";"2706"
"220280 CONCEICAO DO CANINDE";"6";"36";"5";"27";"11";"4";"0";"1";"580";"380";"18";"3";"178";"0";"0";"0";"0";"27";"20";"78";"69";"10";"6";"0";"0";"0";"0";"0";"0";"0";"2";"0";"11";"0";"0";"28";"0";"0";"0";"0";"4";"0";"0";"33";"0";"32";"20";"84";"45";"54";"0";"0";"0";"56";"22";"2";"26";"28";"0";"21";"9";"0";"0";"0";"25";"0";"0";"0";"2";"108";"122";"0";"2193"
"220285 CORONEL JOSE DIAS";"1";"30";"4";"27";"6";"1";"2";"0";"389";"233";"5";"3";"135";"1";"0";"0";"0";"13";"17";"40";"38";"18";"15";"4";"0";"0";"0";"0";"0";"9";"2";"1";"5";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"17";"0";"19";"6";"0";"18";"21";"1";"0";"0";"23";"4";"2";"5";"5";"0";"4";"3";"0";"0";"2";"6";"0";"0";"0";"2";"58";"15";"2";"1221"
"220290 CORRENTE";"750";"259";"56";"200";"65";"24";"9";"2";"4375";"2310";"49";"19";"728";"4";"0";"0";"0";"112";"47";"180";"130";"18";"30";"5";"3";"1";"2";"0";"0";"0";"17";"7";"145";"0";"0";"51";"0";"3";"0";"0";"95";"1";"0";"39";"0";"88";"166";"767";"69";"243";"0";"5";"7";"263";"33";"98";"40";"35";"0";"18";"54";"0";"19";"0";"79";"0";"0";"0";"6";"432";"1135";"3";"13296"
"220300 CRISTALANDIA DO PIAUI";"0";"20";"1";"24";"5";"5";"2";"0";"311";"174";"0";"0";"76";"0";"0";"0";"0";"15";"1";"28";"22";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"9";"0";"0";"0";"0";"3";"0";"0";"3";"0";"23";"2";"0";"9";"6";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"35";"0";"824"
"220310 CRISTINO CASTRO";"59";"225";"31";"162";"59";"14";"3";"1";"2822";"1812";"17";"3";"768";"0";"0";"0";"0";"165";"71";"392";"216";"65";"12";"4";"0";"0";"0";"0";"0";"56";"1";"7";"28";"0";"0";"1";"2";"0";"1";"0";"3";"0";"0";"6";"0";"12";"38";"28";"26";"81";"4";"0";"0";"146";"16";"46";"31";"11";"0";"7";"50";"30";"3";"12";"46";"11";"3";"0";"0";"464";"210";"53";"8334"
"220320 CURIMATA";"153";"168";"20";"164";"27";"8";"2";"1";"2230";"1611";"47";"26";"562";"0";"0";"0";"0";"115";"44";"273";"207";"44";"22";"6";"0";"0";"2";"0";"0";"0";"2";"0";"103";"0";"0";"20";"0";"0";"0";"0";"21";"0";"0";"13";"0";"22";"42";"59";"24";"136";"0";"0";"0";"128";"139";"9";"134";"121";"0";"70";"29";"0";"5";"0";"58";"0";"0";"0";"8";"328";"278";"1";"7482"
"220323 CURRAIS";"1";"46";"3";"40";"9";"3";"9";"0";"630";"525";"22";"4";"221";"0";"0";"0";"0";"39";"19";"71";"40";"15";"8";"1";"1";"0";"0";"0";"0";"2";"0";"2";"115";"0";"0";"2";"0";"0";"1";"0";"142";"0";"0";"0";"0";"7";"4";"12";"1";"11";"0";"0";"0";"20";"2";"5";"1";"0";"0";"0";"13";"0";"1";"0";"13";"0";"0";"0";"0";"74";"89";"0";"2224"
"220325 CURRALINHOS";"1";"51";"4";"43";"18";"6";"4";"0";"746";"544";"14";"18";"241";"0";"0";"0";"0";"48";"24";"142";"69";"30";"18";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"9";"0";"0";"0";"0";"2";"1";"0";"12";"1";"27";"54";"74";"48";"138";"2";"0";"0";"135";"102";"8";"114";"84";"0";"66";"3";"0";"9";"0";"43";"0";"0";"0";"4";"206";"250";"0";"3417"
"220327 CURRAL NOVO DO PIAUI";"47";"62";"0";"57";"7";"2";"0";"0";"899";"642";"30";"8";"313";"0";"0";"0";"0";"62";"32";"165";"86";"25";"16";"4";"0";"0";"0";"0";"0";"2";"2";"3";"143";"1";"0";"4";"0";"0";"0";"0";"168";"0";"0";"4";"0";"5";"12";"90";"10";"32";"1";"0";"1";"27";"9";"6";"4";"4";"0";"2";"9";"0";"1";"0";"43";"0";"0";"0";"4";"202";"245";"0";"3491"
"220330 DEMERVAL LOBAO";"32";"114";"18";"143";"37";"12";"4";"0";"1927";"1736";"44";"11";"706";"0";"0";"0";"0";"111";"42";"259";"186";"45";"23";"4";"0";"0";"0";"0";"1";"0";"7";"3";"17";"0";"0";"26";"0";"1";"1";"0";"4";"0";"0";"54";"1";"87";"50";"86";"52";"189";"11";"1";"1";"259";"108";"24";"115";"78";"0";"117";"18";"0";"4";"0";"42";"0";"0";"0";"2";"398";"399";"0";"7610"
"220335 DIRCEU ARCOVERDE";"7";"48";"11";"34";"14";"9";"5";"0";"757";"432";"24";"16";"141";"2";"0";"0";"0";"21";"17";"30";"32";"12";"6";"2";"2";"0";"0";"0";"0";"4";"8";"5";"20";"0";"1";"4";"0";"1";"0";"0";"1";"0";"0";"8";"0";"11";"2";"3";"9";"10";"2";"0";"0";"17";"3";"2";"5";"1";"0";"1";"4";"0";"2";"0";"8";"0";"0";"0";"0";"44";"33";"1";"1832"
"220340 DOM EXPEDITO LOPES";"9";"65";"11";"43";"25";"3";"6";"0";"888";"685";"16";"11";"330";"3";"1";"0";"0";"53";"32";"131";"84";"17";"7";"5";"2";"2";"2";"1";"3";"0";"6";"6";"86";"0";"0";"4";"0";"0";"0";"0";"2";"0";"0";"4";"2";"9";"20";"48";"16";"72";"7";"0";"0";"127";"11";"95";"14";"13";"0";"12";"82";"0";"52";"0";"54";"0";"0";"0";"0";"90";"550";"0";"3817"
"220342 DOMINGOS MOURAO";"29";"52";"4";"35";"9";"2";"1";"0";"594";"488";"11";"5";"222";"2";"0";"0";"0";"48";"19";"87";"57";"14";"8";"2";"0";"0";"0";"0";"0";"0";"2";"2";"50";"0";"0";"5";"0";"0";"0";"0";"20";"0";"0";"5";"1";"2";"0";"31";"0";"20";"0";"0";"0";"22";"6";"9";"4";"0";"0";"1";"7";"0";"8";"0";"13";"0";"0";"0";"0";"60";"114";"0";"2071"
"220345 DOM INOCENCIO";"27";"76";"6";"53";"28";"4";"7";"1";"1184";"879";"7";"2";"358";"0";"0";"0";"0";"61";"32";"186";"76";"16";"17";"0";"0";"0";"0";"0";"0";"29";"1";"4";"58";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"0";"0";"5";"2";"45";"5";"31";"0";"0";"0";"61";"20";"22";"13";"11";"0";"3";"50";"28";"5";"21";"90";"13";"16";"0";"8";"154";"357";"16";"4130"
